,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
32,Joseph Vazhackan,INC,1,Graduate,64,"Rs 2,12,51,119 ~ 2 Crore+","Rs 81,50,000 ~ 81 Lacs+",KOTTAYAM,Kerela2021,7
33,Joy Thomas Vazhamattom,BSP,0,8th Pass,50,"Rs 6,70,000 ~ 6 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
34,Kuttan Kattachira,IND,1,10th Pass,64,"Rs 12,22,619 ~ 12 Lacs+","Rs 2,10,000 ~ 2 Lacs+",KOTTAYAM,Kerela2021,0
35,Lathika Subhash,IND,5,Post Graduate,56,"Rs 84,21,731 ~ 84 Lacs+","Rs 43,68,040 ~ 43 Lacs+",KOTTAYAM,Kerela2021,0
36,Ligin Lal,BJP,3,Post Graduate,38,"Rs 83,02,000 ~ 83 Lacs+","Rs 4,00,000 ~ 4 Lacs+",KOTTAYAM,Kerela2021,0
37,M V Cherian,SUCI(C),0,Graduate,51,"Rs 15,76,261 ~ 15 Lacs+","Rs 1,50,000 ~ 1 Lacs+",KOTTAYAM,Kerela2021,7
38,M. K. Nizamuddin,SDPI,0,Graduate Professional,33,"Rs 2,33,500 ~ 2 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
39,M. P. Sen,Bharath Dharma Jana Sena,0,Graduate,56,"Rs 1,01,40,170 ~ 1 Crore+","Rs 19,00,000 ~ 19 Lacs+",KOTTAYAM,Kerela2021,7
40,M. V. George,IND,0,Post Graduate,63,"Rs 1,41,71,300 ~ 1 Crore+","Rs 15,00,000 ~ 15 Lacs+",KOTTAYAM,Kerela2021,0
41,M.K.Shahazad,SUCI(C),0,Graduate Professional,31,"Rs 2,882 ~ 2 Thou+",Rs 0 ~,KOTTAYAM,Kerela2021,0
42,Mani C Kappen,IND,12,12th Pass,64,"Rs 27,93,30,624 ~ 27 Crore+","Rs 4,95,64,402 ~ 4 Crore+",KOTTAYAM,Kerela2021,0
43,Mani C. Kuriakose,IND,0,8th Pass,63,"Rs 21,372 ~ 21 Thou+",Rs 0 ~,KOTTAYAM,Kerela2021,0
44,Mayamol K P,SUCI(C),0,Post Graduate,26,"Rs 1,54,797 ~ 1 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
45,Minerva Mohan,BJP,0,Post Graduate,63,"Rs 45,07,452 ~ 45 Lacs+","Rs 35,00,000 ~ 35 Lacs+",KOTTAYAM,Kerela2021,0
46,N Hari,BJP,4,10th Pass,43,"Rs 6,02,776 ~ 6 Lacs+","Rs 97,612 ~ 97 Thou+",KOTTAYAM,Kerela2021,0
47,Oommen Chandy,INC,4,Graduate Professional,77,"Rs 4,55,37,826 ~ 4 Crore+","Rs 31,49,529 ~ 31 Lacs+",KOTTAYAM,Kerela2021,0
48,P.C.George Plathottam,Kerala Janapaksham (Secular),8,Graduate,70,"Rs 2,78,32,497 ~ 2 Crore+","Rs 3,03,05,000 ~ 3 Crore+",KOTTAYAM,Kerela2021,7
49,Prameeladevi .J,BJP,3,Doctorate,60,"Rs 4,37,70,528 ~ 4 Crore+","Rs 60,89,790 ~ 60 Lacs+",KOTTAYAM,Kerela2021,10
50,Rejitha Jayaram,SUCI(C),0,10th Pass,42,"Rs 90,439 ~ 90 Thou+",Rs 0 ~,KOTTAYAM,Kerela2021,0
51,Santhosh Pulickal,IND,0,10th Pass,34,"Rs 2,20,300 ~ 2 Lacs+","Rs 80,000 ~ 80 Thou+",KOTTAYAM,Kerela2021,0
52,Sreejith V S,IND,0,10th Pass,40,"Rs 6,24,000 ~ 6 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
53,Sreekumar Chakkala,BSP,0,10th Pass,53,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
54,Stephen George,Kerala Congress (M),0,Post Graduate,57,"Rs 1,68,38,677 ~ 1 Crore+","Rs 46,95,478 ~ 46 Lacs+",KOTTAYAM,Kerela2021,0
55,Sunil Alancheril,IND,0,10th Pass,51,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,KOTTAYAM,Kerela2021,0
56,T N Harikumar,BJP,3,Graduate,46,"Rs 77,70,000 ~ 77 Lacs+","Rs 22,00,000 ~ 22 Lacs+",KOTTAYAM,Kerela2021,7
57,T.K Sabu,SUCI(C),0,10th Pass,51,"Rs 22,70,200 ~ 22 Lacs+","Rs 2,00,000 ~ 2 Lacs+",KOTTAYAM,Kerela2021,0
58,Thiruvanchoor Radhakrishnan,INC,1,Graduate Professional,71,"Rs 2,40,60,184 ~ 2 Crore+","Rs 1,60,000 ~ 1 Lacs+",KOTTAYAM,Kerela2021,0
59,Thomas J. Nidiry,IND,0,Post Graduate,66,"Rs 1,47,41,709 ~ 1 Crore+",Rs 0 ~,KOTTAYAM,Kerela2021,0
60,Tijo Karikkandam,IND,0,Graduate Professional,35,"Rs 4,08,64,526 ~ 4 Crore+","Rs 2,40,00,000 ~ 2 Crore+",KOTTAYAM,Kerela2021,0
61,Tomy Chemarapallil,IND,1,10th Pass,46,"Rs 10,95,202 ~ 10 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
62,V N Vasavan,CPI(M),1,10th Pass,66,"Rs 94,63,784 ~ 94 Lacs+",Rs 0 ~,KOTTAYAM,Kerela2021,0
63,V. J. Laly,Kerala Congress,0,Post Graduate,58,"Rs 2,33,50,625 ~ 2 Crore+",Rs 0 ~,KOTTAYAM,Kerela2021,0
64,Vinod K Jose,IND,0,Post Graduate,47,"Rs 3,25,16,835 ~ 3 Crore+","Rs 6,58,430 ~ 6 Lacs+",KOTTAYAM,Kerela2021,0
0,A .K Saseendran,NCP,0,10th Pass,75,"Rs 2,06,37,386 ~ 2 Crore+",Rs 0 ~,KOZHIKODE,Kerela2021,0
1,A Ramesh,IND,0,10th Pass,54,"Rs 36,76,475 ~ 36 Lacs+","Rs 2,87,897 ~ 2 Lacs+",KOZHIKODE,Kerela2021,0
2,Abdul Gafoor K. K,BSP,0,10th Pass,48,"Rs 7,15,000 ~ 7 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
3,Abdul Muneer,IND,0,8th Pass,41,"Rs 8,40,802 ~ 8 Lacs+","Rs 1,00,000 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
4,Abdul Raheem P S/O. Abdul Kareem,IND,0,10th Pass,37,"Rs 24,94,004 ~ 24 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
5,Abdul Raheem S/O. Hassan Koya,IND,0,10th Pass,33,"Rs 27,82,628 ~ 27 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
6,Abdul Razak K S/O Ahmad Kutty,IND,0,10th Pass,63,"Rs 14,26,620 ~ 14 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
7,Abdul Razak S/O Muhammed,IND,0,10th Pass,51,"Rs 80,95,049 ~ 80 Lacs+","Rs 25,00,000 ~ 25 Lacs+",KOZHIKODE,Kerela2021,0
8,Abdul Vahid,SDPI,1,10th Pass,53,"Rs 48,62,700 ~ 48 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
9,Abdulla S/O Pokker,IND,0,Literate,71,"Rs 26,91,047 ~ 26 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,2
10,Adv. K V Sudheer,BJP,5,Graduate Professional,47,"Rs 1,45,94,452 ~ 1 Crore+","Rs 6,32,843 ~ 6 Lacs+",KOZHIKODE,Kerela2021,0
11,Adv. K. Praveen Kumar,INC,15,Graduate Professional,51,"Rs 1,55,65,330 ~ 1 Crore+","Rs 76,53,792 ~ 76 Lacs+",KOZHIKODE,Kerela2021,0
12,Adv. K.M. Sachindev,CPI(M),7,Graduate Professional,27,"Rs 2,68,23,208 ~ 2 Crore+",Rs 0 ~,KOZHIKODE,Kerela2021,0
13,Adv. Mubeena,IND,0,Graduate Professional,34,"Rs 14,92,000 ~ 14 Lacs+","Rs 10,000 ~ 10 Thou+",KOZHIKODE,Kerela2021,0
14,Adv. Noorbeena Rasheed,IUML,0,Graduate Professional,58,"Rs 1,53,26,940 ~ 1 Crore+",Rs 0 ~,KOZHIKODE,Kerela2021,0
15,Adv. P. A Mohamed Riyas,CPI(M),12,Graduate Professional,45,"Rs 1,82,64,276 ~ 1 Crore+","Rs 5,40,013 ~ 5 Lacs+",KOZHIKODE,Kerela2021,0
16,Adv. P. M Niyas,INC,6,Post Graduate,55,"Rs 41,99,190 ~ 41 Lacs+","Rs 19,49,000 ~ 19 Lacs+",KOZHIKODE,Kerela2021,0
17,Adv. P. T. A Rahim,IND,0,Graduate Professional,72,"Rs 1,20,48,264 ~ 1 Crore+",Rs 0 ~,KOZHIKODE,Kerela2021,0
18,Adv. Prakashbabu,BJP,24,Post Graduate,41,"Rs 31,34,052 ~ 31 Lacs+","Rs 2,43,000 ~ 2 Lacs+",KOZHIKODE,Kerela2021,0
19,Advocate M. Rajesh Kumar,BJP,0,Graduate Professional,49,"Rs 39,38,508 ~ 39 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
20,Ahammad Devarkovil,Indian National League,0,10th Pass,61,"Rs 4,38,34,892 ~ 4 Crore+","Rs 1,10,55,504 ~ 1 Crore+",KOZHIKODE,Kerela2021,0
21,Babu K G,IND,0,10th Pass,75,"Rs 2,41,184 ~ 2 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
22,Baby Ambattu,BJP,0,10th Pass,66,"Rs 51,86,811 ~ 51 Lacs+","Rs 15,00,000 ~ 15 Lacs+",KOZHIKODE,Kerela2021,0
23,C H Ebrahimkutty S/O Kunjammed,IND,0,10th Pass,56,"Rs 8,01,51,932 ~ 8 Crore+","Rs 49,53,794 ~ 49 Lacs+",KOZHIKODE,Kerela2021,0
24,C. P. Cheriya Muhammed,IUML,0,Post Graduate,56,"Rs 1,15,83,232 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
25,Chandrika,Welfare Party Of India,0,10th Pass,47,"Rs 5,11,500 ~ 5 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
26,Dharmajan Bolgatty,INC,0,10th Pass,45,"Rs 2,71,76,160 ~ 2 Crore+","Rs 12,00,000 ~ 12 Lacs+",KOZHIKODE,Kerela2021,0
27,Dharmendran,IND,0,10th Pass,43,"Rs 7,80,000 ~ 7 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
28,Dinesan Mundakkal,IND,0,10th Pass,50,"Rs 18,58,350 ~ 18 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
29,Dinesh Perumanna,IND,4,12th Pass,52,"Rs 43,20,735 ~ 43 Lacs+","Rs 28,82,271 ~ 28 Lacs+",KOZHIKODE,Kerela2021,0
30,Dineshan Pakkath,IND,0,12th Pass,49,"Rs 18,99,560 ~ 18 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
31,Dr. M.K Muneer,IUML,11,Graduate Professional,58,"Rs 4,34,25,895 ~ 4 Crore+","Rs 92,00,000 ~ 92 Lacs+",KOZHIKODE,Kerela2021,0
32,E. K. Vijayan,CPI,0,12th Pass,68,"Rs 57,46,625 ~ 57 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
33,E. P. Anwar Sadath,Welfare Party Of India,2,10th Pass,46,"Rs 40,78,019 ~ 40 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
34,E.M Niyas S/O Saleem Babu,IND,0,Graduate,31,"Rs 8,54,540 ~ 8 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,7
35,Gangadharan Madappally,IND,0,10th Pass,65,"Rs 4,97,000 ~ 4 Lacs+","Rs 4,93,000 ~ 4 Lacs+",KOZHIKODE,Kerela2021,0
36,Ibrahimkutty M S/O Pokker,IND,0,8th Pass,76,"Rs 24,24,146 ~ 24 Lacs+","Rs 5,08,686 ~ 5 Lacs+",KOZHIKODE,Kerela2021,0
37,Ismail Kammana,SDPI,0,10th Pass,50,"Rs 37,01,525 ~ 37 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
38,Jamal Chaliyam,SDPI,0,10th Pass,41,"Rs 4,22,000 ~ 4 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
39,Jameela. P.P.,IND,0,8th Pass,48,"Rs 88,74,134 ~ 88 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
40,Jobish Balussery,BSP,0,Post Graduate,32,"Rs 3,24,000 ~ 3 Lacs+","Rs 3,00,000 ~ 3 Lacs+",KOZHIKODE,Kerela2021,0
41,K K Kunhammad Kutty,IND,0,5th Pass,62,"Rs 13,37,507 ~ 13 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
42,K M Abhijith,INC,38,Post Graduate,26,"Rs 18,69,008 ~ 18 Lacs+","Rs 1,73,343 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
43,K P Kunhammed Kutti Master,CPI(M),4,10th Pass,69,"Rs 82,67,781 ~ 82 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
44,K Rahim,SUCI(C),0,12th Pass,31,"Rs 74,158 ~ 74 Thou+",Rs 0 ~,KOZHIKODE,Kerela2021,0
45,K. K. Naser,SDPI,2,Post Graduate,45,"Rs 1,63,03,253 ~ 1 Crore+","Rs 42,99,103 ~ 42 Lacs+",KOZHIKODE,Kerela2021,0
46,K. P. Cheriya Muhammed S/O Kunhoyi,IND,0,Literate,70,"Rs 1,59,80,500 ~ 1 Crore+","Rs 6,60,000 ~ 6 Lacs+",KOZHIKODE,Kerela2021,2
47,K.K.Rema,Revolutionary Marxist Party of India,2,Graduate Professional,50,"Rs 96,80,507 ~ 96 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
48,K.T.K Rama Padannayil,IND,0,10th Pass,39,"Rs 13,03,106 ~ 13 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
49,Kanathil Jameela,CPI(M),1,10th Pass,54,"Rs 1,90,93,781 ~ 1 Crore+",Rs 0 ~,KOZHIKODE,Kerela2021,0
50,Karat Razack,IND,0,8th Pass,55,"Rs 73,49,942 ~ 73 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
51,Lakshmanan.K.P.Thamarassery,IND,0,10th Pass,63,"Rs 22,37,971 ~ 22 Lacs+","Rs 1,48,000 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
52,Lenilal. T. D.,IND,0,Graduate,32,"Rs 29,11,000 ~ 29 Lacs+","Rs 16,26,000 ~ 16 Lacs+",KOZHIKODE,Kerela2021,7
53,Libin Balussery,BJP,0,12th Pass,29,"Rs 5,61,000 ~ 5 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
54,Linto Joseph,CPI(M),4,Post Graduate,28,"Rs 76,92,000 ~ 76 Lacs+","Rs 14,06,000 ~ 14 Lacs+",KOZHIKODE,Kerela2021,0
55,Linto Joseph S/O Sali,IND,0,Graduate,25,"Rs 22,000 ~ 22 Thou+",Rs 0 ~,KOZHIKODE,Kerela2021,7
56,M T Ramesh,BJP,3,Graduate,50,"Rs 20,58,464 ~ 20 Lacs+","Rs 8,50,000 ~ 8 Lacs+",KOZHIKODE,Kerela2021,7
57,M. P. Rajan,BJP,1,10th Pass,60,"Rs 16,42,000 ~ 16 Lacs+","Rs 7,00,000 ~ 7 Lacs+",KOZHIKODE,Kerela2021,0
58,Manayath Chandran,Loktantrik Janta Dal,2,Post Graduate,65,"Rs 1,95,45,072 ~ 1 Crore+","Rs 23,63,109 ~ 23 Lacs+",KOZHIKODE,Kerela2021,0
59,Mohandas Unnikulam,RPI(A),0,10th Pass,57,"Rs 5,67,500 ~ 5 Lacs+","Rs 96,000 ~ 96 Thou+",KOZHIKODE,Kerela2021,0
60,Muneer M.K S/O Muhammed,IND,0,10th Pass,41,"Rs 12,43,883 ~ 12 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
61,Musthafa Kommeri,SDPI,0,Graduate,39,"Rs 87,65,507 ~ 87 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,7
62,Musthafa Paleri,SDPI,1,8th Pass,42,"Rs 31,16,818 ~ 31 Lacs+","Rs 7,00,000 ~ 7 Lacs+",KOZHIKODE,Kerela2021,0
63,N Abhijith,IND,0,12th Pass,26,"Rs 62,500 ~ 62 Thou+","Rs 21,600 ~ 21 Thou+",KOZHIKODE,Kerela2021,0
64,N. Subramaniyan,INC,11,10th Pass,63,"Rs 1,59,56,852 ~ 1 Crore+","Rs 1,53,64,841 ~ 1 Crore+",KOZHIKODE,Kerela2021,0
65,N.P. Radhakrishnan,BJP,1,10th Pass,62,"Rs 4,14,139 ~ 4 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
66,Navya Haridas,BJP,0,Graduate Professional,36,"Rs 1,29,56,264 ~ 1 Crore+","Rs 1,64,979 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
67,Niyas K S/O Koya Kuniyil,IND,0,10th Pass,48,"Rs 28,000 ~ 28 Thou+",Rs 0 ~,KOZHIKODE,Kerela2021,0
68,P P Murali Master,BJP,1,Post Graduate,51,"Rs 45,74,000 ~ 45 Lacs+","Rs 12,00,000 ~ 12 Lacs+",KOZHIKODE,Kerela2021,0
69,P. Hareendranath,Democratic Social Justice Party,0,Post Graduate,51,"Rs 17,96,200 ~ 17 Lacs+","Rs 1,74,401 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
70,P. P Muhammad Riyas S/O Mamukkoya,IND,0,8th Pass,40,"Rs 11,18,450 ~ 11 Lacs+","Rs 5,59,524 ~ 5 Lacs+",KOZHIKODE,Kerela2021,0
71,Parakkal Abdulla,IUML,4,5th Pass,62,"Rs 6,00,70,881 ~ 6 Crore+","Rs 15,88,149 ~ 15 Lacs+",KOZHIKODE,Kerela2021,0
72,Praveen Cheruvath,SUCI(C),0,10th Pass,52,"Rs 51,65,000 ~ 51 Lacs+","Rs 14,000 ~ 14 Thou+",KOZHIKODE,Kerela2021,0
73,Prof.George Mathew Thottathimyalil,IND,0,Post Graduate,61,"Rs 1,61,23,714 ~ 1 Crore+","Rs 19,34,250 ~ 19 Lacs+",KOZHIKODE,Kerela2021,0
74,Rama Cheriya Kayyil,IND,0,5th Pass,54,"Rs 8,11,500 ~ 8 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
75,Rama Kuniyil,IND,0,10th Pass,56,"Rs 15,26,664 ~ 15 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
76,Saleem Nechole,IND,0,Graduate,56,"Rs 10,20,000 ~ 10 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,7
77,Shahin K C,Samajwadi Forward Bloc,0,10th Pass,29,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,KOZHIKODE,Kerela2021,0
78,Sreedharan K K,National Labour Party,0,Graduate,72,"Rs 28,40,500 ~ 28 Lacs+","Rs 1,40,000 ~ 1 Lacs+",KOZHIKODE,Kerela2021,7
79,Subrahmanyan Kanaran,IND,0,8th Pass,43,"Rs 21,08,000 ~ 21 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
80,Sunny. V. Joseph,IND,0,Post Graduate,61,"Rs 44,25,166 ~ 44 Lacs+","Rs 34,34,817 ~ 34 Lacs+",KOZHIKODE,Kerela2021,0
81,Suresh Babu M K,IND,0,8th Pass,60,"Rs 13,65,600 ~ 13 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
82,T Balasoman,BJP,3,10th Pass,52,"Rs 28,05,984 ~ 28 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
83,T.P. Ramakrishnan,CPI(M),1,10th Pass,71,"Rs 53,77,881 ~ 53 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
84,T.Praveen Kumar S/O Kannan,IND,0,Others,47,"Rs 22,55,909 ~ 22 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
85,Tahir Mokkandi,Welfare Party Of India,0,10th Pass,52,"Rs 53,03,000 ~ 53 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
86,Thottathil Ravindran,CPI(M),0,10th Pass,73,"Rs 4,30,94,550 ~ 4 Crore+","Rs 1,45,024 ~ 1 Lacs+",KOZHIKODE,Kerela2021,0
87,Urandiyil Raveendran,IND,0,10th Pass,56,"Rs 10,11,000 ~ 10 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
88,V K Chandran,IND,0,8th Pass,51,"Rs 30,37,000 ~ 30 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
89,V P Pratheesh,IND,0,12th Pass,37,"Rs 36,35,520 ~ 36 Lacs+","Rs 9,93,134 ~ 9 Lacs+",KOZHIKODE,Kerela2021,0
90,V P Ramesh,IND,0,10th Pass,48,"Rs 25,53,772 ~ 25 Lacs+",Rs 0 ~,KOZHIKODE,Kerela2021,0
91,Velluparambath Chandran,IND,0,8th Pass,63,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,KOZHIKODE,Kerela2021,0
0,Abdul Hameed Master,IUML,7,10th Pass,73,"Rs 3,02,34,747 ~ 3 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,0
1,A P Anilkumar,INC,1,12th Pass,56,"Rs 68,87,138 ~ 68 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
2,Abdul Gafoor Pulikkal,IND,0,5th Pass,40,"Rs 20,760 ~ 20 Thou+",Rs 0 ~,MALAPPURAM,Kerela2021,0
3,Abdul Gafoor Valiya Peedikakkal,IND,0,8th Pass,47,"Rs 15,25,068 ~ 15 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
4,Abdul Mahroof A.K,IND,0,Graduate,31,"Rs 5,84,924 ~ 5 Lacs+","Rs 5,40,000 ~ 5 Lacs+",MALAPPURAM,Kerela2021,7
5,Abdul Majeed Panakkal,BSP,0,5th Pass,56,"Rs 52,11,000 ~ 52 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
6,Abdurahim Naha,IND,0,12th Pass,62,"Rs 75,24,796 ~ 75 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
7,Abdurahiman.V S/O Alavi Haji,IND,0,Literate,65,"Rs 30,33,500 ~ 30 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,2
8,Abdurahiman.V S/O Muhammed,IND,0,Not Given,55,"Rs 21,18,000 ~ 21 Lacs+","Rs 4,00,000 ~ 4 Lacs+",MALAPPURAM,Kerela2021,0
9,Aboobacker Sidheek,IND,0,10th Pass,49,"Rs 36,00,000 ~ 36 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
10,Adil Abdurahiman Thangal,IND,0,12th Pass,30,"Rs 83,96,187 ~ 83 Lacs+","Rs 13,833 ~ 13 Thou+",MALAPPURAM,Kerela2021,0
11,Adv Abdul Afsal P T,IND,0,Graduate Professional,53,"Rs 18,12,294 ~ 18 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
12,Adv. A.M. Rohith,INC,8,Graduate Professional,35,"Rs 5,82,540 ~ 5 Lacs+","Rs 2,00,000 ~ 2 Lacs+",MALAPPURAM,Kerela2021,0
13,Adv. C. Dinesh,BJP,0,Post Graduate,45,"Rs 89,55,111 ~ 89 Lacs+","Rs 30,00,000 ~ 30 Lacs+",MALAPPURAM,Kerela2021,0
14,Adv. Gafoor P Lillis,CPI(M),0,Post Graduate,51,"Rs 2,36,81,460 ~ 2 Crore+","Rs 14,00,000 ~ 14 Lacs+",MALAPPURAM,Kerela2021,0
15,Adv. Roshith. M.P.,IND,0,Graduate Professional,44,"Rs 40,60,500 ~ 40 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
16,Adv. Sebastian,IND,0,Graduate Professional,63,"Rs 1,56,52,132 ~ 1 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,0
17,Adv. T. K Ashokkumar,BJP,8,Graduate Professional,42,"Rs 40,15,744 ~ 40 Lacs+","Rs 19,73,392 ~ 19 Lacs+",MALAPPURAM,Kerela2021,0
18,Adv. T.K. Rasheedali,CPI(M),0,Graduate Professional,50,"Rs 3,35,44,457 ~ 3 Crore+","Rs 8,51,686 ~ 8 Lacs+",MALAPPURAM,Kerela2021,0
19,Adv. U.A. Latheef,IUML,2,Graduate Professional,71,"Rs 2,83,94,930 ~ 2 Crore+","Rs 10,40,145 ~ 10 Lacs+",MALAPPURAM,Kerela2021,0
20,Adv: V.V. Prakash,INC,3,Graduate Professional,57,"Rs 1,82,37,500 ~ 1 Crore+","Rs 26,42,248 ~ 26 Lacs+",MALAPPURAM,Kerela2021,0
21,Ali S/O Alavi Haji,IND,0,5th Pass,59,"Rs 43,24,700 ~ 43 Lacs+","Rs 12,00,000 ~ 12 Lacs+",MALAPPURAM,Kerela2021,0
22,Ali S/O Musthafa,IND,0,10th Pass,32,"Rs 6,30,510 ~ 6 Lacs+","Rs 15,000 ~ 15 Thou+",MALAPPURAM,Kerela2021,0
23,Anannyahkumari Alex,Democratic Social Justice Party,1,10th Pass,28,"Rs 3,06,320 ~ 3 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
24,Anila Mathew,Indian Christian Secular Party,0,10th Pass,52,"Rs 95,099 ~ 95 Thou+",Rs 0 ~,MALAPPURAM,Kerela2021,0
25,Anvar Pazhanji,SDPI,3,10th Pass,48,"Rs 2,01,52,500 ~ 2 Crore+","Rs 7,00,000 ~ 7 Lacs+",MALAPPURAM,Kerela2021,0
26,Areekkad Sethumadhavan,BJP,0,10th Pass,46,"Rs 28,40,000 ~ 28 Lacs+","Rs 37,50,000 ~ 37 Lacs+",MALAPPURAM,Kerela2021,0
27,Ashraf,SDPI,1,8th Pass,49,"Rs 20,59,739 ~ 20 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
28,Ayisha,IND,0,Graduate,63,"Rs 3,56,65,207 ~ 3 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,7
29,Bindhu Devarajan,IND,0,8th Pass,53,"Rs 4,32,904 ~ 4 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
30,C V Ibrahim S/O Muhammed,IND,0,Literate,51,"Rs 9,12,700 ~ 9 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,2
31,Chandran,IND,0,8th Pass,49,"Rs 16,11,960 ~ 16 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
32,Dr. Abdul Salam M,BJP,0,Doctorate,68,"Rs 6,47,85,333 ~ 6 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,10
33,Dr. P C Vijayan,BJP,0,Graduate Professional,63,"Rs 2,39,60,000 ~ 2 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,0
34,Dr.K.T.Jaleel,IND,1,Doctorate,53,"Rs 1,10,11,455 ~ 1 Crore+","Rs 95,000 ~ 95 Thou+",MALAPPURAM,Kerela2021,10
35,E.C. Ayisha,Welfare Party Of India,0,Others,60,"Rs 60,77,201 ~ 60 Lacs+",Rs 0 ~,MALAPPURAM,Kerela2021,0
36,E.K. Kunhahamedkutty Master,Welfare Party Of India,0,5th Pass,66,"Rs 4,64,66,000 ~ 4 Crore+",Rs 0 ~,MALAPPURAM,Kerela2021,0
37,Firos Kunnamparambil,INC,2,8th Pass,36,"Rs 54,27,246 ~ 54 Lacs+","Rs 16,22,671 ~ 16 Lacs+",MALAPPURAM,Kerela2021,0
38,Firos Kunnathparambil,IND,0,10th Pass,45,"Rs 29,79,649 ~ 29 Lacs+","Rs 96,494 ~ 96 Thou+",MALAPPURAM,Kerela2021,0
