                    date                                                                                                                                                                                                                                                                                                  tweet         username                                        name                                                            link  nlikes        search
0    2020-08-10 18:48:51                                                                                                                                    Rajasthani Rani #ReadyTowait lethargic strategy has given another lifeline to 69 year old Ashok Gehlot. But now pappu fans like  will hail this as 's masterstroke.        kanimozhi                                   Kanimozhi        https://twitter.com/kanimozhi/status/1292812656915644417      22  #ReadyToWait
1    2020-07-12 23:58:08                        3. Claimed credit for Modi's victory in 2014, which few from HDL propagated. 4. Claimed credit for standing up for Hindus but asked for military against Sabarimala #ReadyToWait movement. 5. Said VHS = spiritual org but VHS fought elections in WB against BJP. 6. Claims...     Violet_Texts                                      Violet     https://twitter.com/Violet_Texts/status/1282381241979822080      49  #ReadyToWait
2    2020-06-06 14:50:27                                                                                                                                                                                                                              BJP IT cell and Sabarimala warriors are #ReadyToWait till mandala kaalam.  thekorahabraham                               Korah Abraham  https://twitter.com/thekorahabraham/status/1269197451828662273      23  #ReadyToWait
3    2020-05-23 19:03:26                                                                                                                                                                         #ReadyToWait Kulasthree mademoiselles in Kerala should definitely follow customs like this.  Our problem will sort itself out.    roteIndischer                                  Red Indian    https://twitter.com/roteIndischer/status/1264187688183148545      22  #ReadyToWait
4    2020-05-05 19:26:57                       Happy birthday to Padma Pillai ji  ,  #Dharmic Warrior   Her strong voice, articulation was phenomenal in raising Faith related issues, Article 25 &amp; #savesabarimala   #Readytowait by Dharmik Women was instrumental in changing national mood reg in #Sabarimala debate.        RahulEaswar                                Rahul Easwar      https://twitter.com/RahulEaswar/status/1257670624316657664      30  #ReadyToWait
5    2019-12-27 17:29:25                                                                                                                                                                           #SwamiyeSaranamAyyappa 🕉🙏The famous #Sabarimala Temple decorated for the Holy Mandala Mahotsavam🕉#ReadyToWait                  VarierSangitha                        🇮🇳 Sangitha Varier 🚩   https://twitter.com/VarierSangitha/status/1210530620817887232     137  #ReadyToWait
6    2019-12-25 15:58:51                                                  Smt.  will be speaking on the "Temple Reclamation Movement in Kerala" at Kshetrayanam 2020 to be held on 19th January in Chennai.  She is part of the #ReadyToWait campaign supporting #SaveSabarimala.  Be there for the cause by registering at            Pragyata_                                    Pragyata        https://twitter.com/Pragyata_/status/1209783054941614080     131  #ReadyToWait
7    2019-12-18 17:42:11                                                               #IndiaSupportsCAA Dec2018/Lakhs of Women  #ReadyToWait protesting d #SabarimalaVerdict No torching Public Property/ No StonePelting/No Political Support/JstLord’s Chants🕉SANATAN DHARMA CULTURE Bt #JamiaProtests r RiotsAnarchy😡         VarierSangitha                        🇮🇳 Sangitha Varier 🚩   https://twitter.com/VarierSangitha/status/1207272342109356032      66  #ReadyToWait
8    2019-12-13 16:25:39                                                                             #SabarimalaTemple SC says women who want 2 pray @ #Sabarimala shud wait until SC decides if Muslim/Parsi women also hve d right 2 enter Mosques &amp; FireTemple🕉 #SwamiSharanam #ReadyToWait 🙏Big win fr Devotees🙏          VarierSangitha                        🇮🇳 Sangitha Varier 🚩   https://twitter.com/VarierSangitha/status/1205441145167155205      65  #ReadyToWait
9    2019-12-13 13:16:41                                  This is the SC's way of asking every1 to be patient &amp; be #ReadyToWait.  Not wishing to make the situation at #Sabarimala explosive, SC has declared that its Sep '18 ruling isn't final.  It's now upto the State to carryout the wishes of SC.  Swami Saranam.         shilpamdas                                 Shilpa Nair       https://twitter.com/shilpamdas/status/1205393589330698240     311  #ReadyToWait
10   2019-11-27 13:59:33                                                                                                                #Sabarimala Dear #Maharashtra ..Returned wth thanks your #FakeFeminist #AntiHindu Vatican #TruptiDesai after her yearly visit to Kochi Airport ..#SwamiSharanam #ReadyToWait              VarierSangitha                        🇮🇳 Sangitha Varier 🚩   https://twitter.com/VarierSangitha/status/1199606169217581056      36  #ReadyToWait
11   2019-11-26 10:23:23                                                                                                                                                                        For her, it's not about faith, it's about defiance. You CANNOT defy god. Not acceptable! #SaveSabarimalaTradition  #ReadyToWait        MrsGandhi                 Priti Gandhi - प्रीति गांधी        https://twitter.com/MrsGandhi/status/1199189383641026560     784  #ReadyToWait
12   2019-11-18 00:11:53                                                                 #ReadyToWait 🕉 RiceBag Pseudo Feminist who never evn knew #Shabarimala existed as of last yr 😡First Try entering H'aji Ali inner sanctum in ur Home State wen u talk of #GenderEquality #WomenEmpowerment 🕉#TruptiDesaiGoBack            VarierSangitha                        🇮🇳 Sangitha Varier 🚩   https://twitter.com/VarierSangitha/status/1196136391198965760      28  #ReadyToWait
13   2019-11-17 06:37:44                        The toilet paper calls them devotees. They aren't. The women devotees of Bhagawan Ayyappa are always #ReadyToWait  Dig deep into the backgrounds of these 10 women. You will find that Vijayawada, the abode of Durgamma has become the hotbed of converted commie/Kanni Marys.          svbadri                                   S V Badri          https://twitter.com/svbadri/status/1195871103777853442      30  #ReadyToWait
