                   date                                                                                                                                                                                                                                                                                                 tweet  nlikes       search
0   2020-12-17 08:10:24                                                                                                                                      By Grace of Lord Ayyappa and blessings of Pujya Gurudev  Ravi Shankar ji, completed my 55th Pilgrimage to #Sabarimala and back home safely. #SwamiSharanam 🙏🙏🙏      2463  #sabarimala
1   2020-11-16 17:10:43                                                                                                                                                                                                        Our culture Our pride....!!  Puja for 18 steps in #SABARIMALA See how the diyas are lit...🪔🪔      4379  #sabarimala
2   2020-05-11 07:57:21                                                                                                             Do you recall that #Sabarimala case was filed by a #Muslim lawyer.... And case about #Jihad against #SudhirChaudhary is filed by a #Communist?  Wonderful alliance of Green &amp; Red 😊      2459  #sabarimala
3   2020-01-27 12:57:00                                                                                                                                                                                                                            Where are all the Twitter feminists now who were outraging on #sabarimala?    3531  #sabarimala
4   2019-12-23 15:34:37                                                                                         Little #Sabarimala pilgrim Veda sleeps on the lap of an unknown Muslim woman who was sitting next to her in the train. The pic was taken and posted in #Facebook  by Veda's  dad.  That's #Kerala for you❣️      4359  #sabarimala
5   2019-11-14 11:59:52                                                                                                            Take home lesson is:  Ayodhya verdict wouldn't have happened without Kar Sevaks. Court wouldn't have reviewed #Sabarimala without devotees protesting on streets. Mobilization is the key.    2585  #sabarimala
6   2019-11-14 11:50:33                                                            Alas, if entire tradition of #Sabarimala is reduced to menstruation, you have not even tried to understand vastly varied plural #Hindu tradition. SC has realised it seems. Are you worried other women's issues are being clubbed now?  ?    1949  #sabarimala
7   2019-11-14 11:05:58              Disappointing that the Supreme Court could not stand by its own verdict on #Sabarimala - as the matter gets referred to a larger bench. We cant be talking about a Uniform Civil Code if we still believe that menstruating women should keep away from some temples. Sorry. #WeTheWomen    5173  #sabarimala
8   2019-11-14 10:46:21                                         #Sabarimala issue referred to larger bench ... Welcome decision of SC in the direction of protecting rights of devotees &amp; upholding faith ... It was never a matter of fundamental rights .. It was a matter of age old tradition accepted by society ..     2710  #sabarimala
9   2019-11-09 17:34:04                                                        Sanghis who say we can't peacefully, democratically critique contradictions &amp; illogic in #AYODHYAVERDICT coz we must "respect the SC" - tell us, why did Amit Shah threaten to "uproot" Kerala Govt for respecting #Sabarimala SC verdict?    2318  #sabarimala
10  2019-10-13 23:40:02                                          #AyodhyaCase Tripple Talaq - Gone Article 370 -Gone #RamMandir -Very Soon #UCC -To be tabled in Winter session.   Upcoming  #Sabarimala Anti conversion  Ban cow slaughter .   This is called 56".  #ModiSarkar2    The man of mission  Ji 🙏🙏🙏🙏  🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥    2297  #sabarimala
11  2019-06-21 14:15:27                                                                                                                                                                                                                                                       Today, Mrs  ji during Zero Hour . #Sabarimala      2371  #sabarimala
12  2019-04-23 11:17:47                                                                                                                                                                                                   Casted my vote along with my Mother.  This vote is for Ayyappa Swamy.   #SwamySaranam #Sabarimala      2152  #sabarimala
13  2019-03-02 20:09:54                                  Met a family from Kerala traveling to Prayagraj for the Kumbh. Half the members had flown in from Dubai just for the weekend to make this trip. The matriarch of the family couldn’t stop cursing  ‘that stupid fellow’ for rubbing salt on Hindu wounds #Sabarimala    2187  #sabarimala
14  2019-01-27 20:04:47                       Isn’t it strange that judges are not unavailable when they have to interfere in #Sabarimala or #Dahihandi, to ban firecrackers on #Diwali, to take “suo moto” notice and arbitrarily ban #Jallikatttu while hearing a different case, but find some way delay the #AyodhyaCase?    1914  #sabarimala
15  2019-01-21 11:24:59                                                                                        Today   In Solidarity with #Sabarimala &amp; to protest atrocities by Kerala Govt.  A Deepmala will be organized  at 4:30 pm  Connaught Place Inner Circle  Please join the movement   #AyyappaBhakthaSangamam    2417  #sabarimala
16  2019-01-08 13:35:58                                    So when women want to enter #sabarimala, it is a fight for equality, and Kerala police will support them, but when women want to enter the Vavar mosque, it is a threat to law and order and the same Kerala police will arrest them?  following Odd-Even formula?    6503  #sabarimala
17  2019-01-06 18:04:42                     CPM which boasted of 5 million strong women wall for gender equality could not get even 100 women devotees to go Sabarimala. It stealthily smuggled in couple of atheist women into the temple thro side gate. This is shamelessly celebrated as victory by liberals  #Sabarimala    2836  #sabarimala
18  2019-01-05 18:09:54    Tuesday We are going to High court agnst Kerala CM &amp; DGP. The activists who enterd #Sabarimala publicly declared that they neither took 41days fasting nor r devotees. They says they only wantd to prove some feminist points. Govt &amp; DGP conspired wit them. Wont leave anybdy involvd      2114  #sabarimala
